HLS_ID,DIST_ID,MGRStile,sensingTime,availableTime,downloadTime,processedTime,softwareVersion,percentData,percentAnomaly,Errors,
HLS.S30.T21KWA.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KWA_v0.1,21KWA,,,2022-04-07T02:46:37Z,,,,,NA,
HLS.S30.T21KWA.2022006T140049.v2.0,DIST-ALERT_2022006T140049_S30_T21KWA_v0.1,21KWA,,,2022-04-07T09:58:25Z,,,,,NA,
HLS.S30.T21KWA.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KWA_v0.1,21KWA,,,2022-04-07T15:28:28Z,,,,,NA,
HLS.S30.T21KWB.2022001T140051.v2.0,DIST-ALERT_2022001T140051_S30_T21KWB_v0.1,21KWB,,,2022-04-06T21:42:16Z,,,,,NA,
HLS.S30.T21KWB.2022006T140049.v2.0,DIST-ALERT_2022006T140049_S30_T21KWB_v0.1,21KWB,,,2022-04-07T09:58:37Z,,,,,NA,
HLS.L30.T21KWB.2022005T135203.v2.0,DIST-ALERT_2022005T135203_L30_T21KWB_v0.1,21KWB,,,2022-01-09T00:13:36Z,,,,,NA,
HLS.S30.T21KWT.2022001T140051.v2.0,DIST-ALERT_2022001T140051_S30_T21KWT_v0.1,21KWT,,,2022-04-06T21:44:47Z,,,,,NA,
HLS.S30.T21KWT.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KWT_v0.1,21KWT,,,2022-04-07T02:30:18Z,,,,,NA,
HLS.S30.T21KWT.2022006T140049.v2.0,DIST-ALERT_2022006T140049_S30_T21KWT_v0.1,21KWT,,,2022-04-07T09:58:12Z,,,,,NA,
HLS.S30.T21KWT.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KWT_v0.1,21KWT,,,2022-04-07T15:12:18Z,,,,,NA,
HLS.L30.T21KWT.2022007T134053.v2.0,DIST-ALERT_2022007T134053_L30_T21KWT_v0.1,21KWT,,,2022-01-09T07:23:38Z,,,,,NA,
HLS.S30.T21KWU.2022001T140051.v2.0,DIST-ALERT_2022001T140051_S30_T21KWU_v0.1,21KWU,,,2022-04-06T21:34:09Z,,,,,NA,
HLS.S30.T21KWU.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KWU_v0.1,21KWU,,,2022-04-07T02:45:29Z,,,,,NA,
HLS.S30.T21KWU.2022006T140049.v2.0,DIST-ALERT_2022006T140049_S30_T21KWU_v0.1,21KWU,,,2022-04-07T10:01:36Z,,,,,NA,
HLS.S30.T21KWU.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KWU_v0.1,21KWU,,,2022-04-07T15:27:08Z,,,,,NA,
HLS.S30.T21KWV.2022001T140051.v2.0,DIST-ALERT_2022001T140051_S30_T21KWV_v0.1,21KWV,,,2022-04-06T21:42:07Z,,,,,NA,
HLS.S30.T21KWV.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KWV_v0.1,21KWV,,,2022-04-07T02:45:59Z,,,,,NA,
HLS.S30.T21KWV.2022006T140049.v2.0,DIST-ALERT_2022006T140049_S30_T21KWV_v0.1,21KWV,,,2022-04-07T09:45:36Z,,,,,NA,
HLS.S30.T21KWV.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KWV_v0.1,21KWV,,,2022-04-07T15:28:27Z,,,,,NA,
HLS.S30.T21KXA.2022001T140051.v2.0,DIST-ALERT_2022001T140051_S30_T21KXA_v0.1,21KXA,,,2022-04-06T21:39:09Z,,,,,NA,
HLS.S30.T21KXA.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KXA_v0.1,21KXA,,,2022-04-07T02:44:21Z,,,,,NA,
HLS.S30.T21KXA.2022006T140049.v2.0,DIST-ALERT_2022006T140049_S30_T21KXA_v0.1,21KXA,,,2022-04-07T09:43:45Z,,,,,NA,
HLS.S30.T21KXA.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KXA_v0.1,21KXA,,,2022-04-07T15:24:06Z,,,,,NA,
HLS.L30.T21KXA.2022007T134005.v2.0,DIST-ALERT_2022007T134005_L30_T21KXA_v0.1,21KXA,,,2022-01-09T08:10:45Z,,,,,NA,
HLS.S30.T21KXB.2022001T140051.v2.0,DIST-ALERT_2022001T140051_S30_T21KXB_v0.1,21KXB,,,2022-04-06T21:28:03Z,,,,,NA,
HLS.S30.T21KXB.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KXB_v0.1,21KXB,,,2022-04-07T02:50:03Z,,,,,NA,
HLS.S30.T21KXB.2022006T140049.v2.0,DIST-ALERT_2022006T140049_S30_T21KXB_v0.1,21KXB,,,2022-04-07T09:56:51Z,,,,,NA,
HLS.S30.T21KXB.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KXB_v0.1,21KXB,,,2022-04-07T15:04:49Z,,,,,NA,
HLS.L30.T21KXB.2022007T133941.v2.0,DIST-ALERT_2022007T133941_L30_T21KXB_v0.1,21KXB,,,2022-01-09T07:24:55Z,,,,,NA,
HLS.S30.T21KXT.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KXT_v0.1,21KXT,,,2022-04-07T02:47:44Z,,,,,NA,
HLS.S30.T21KXT.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KXT_v0.1,21KXT,,,2022-04-07T15:27:45Z,,,,,NA,
HLS.L30.T21KXT.2022007T134053.v2.0,DIST-ALERT_2022007T134053_L30_T21KXT_v0.1,21KXT,,,2022-01-09T07:27:59Z,,,,,NA,
HLS.S30.T21KXU.2022001T140051.v2.0,DIST-ALERT_2022001T140051_S30_T21KXU_v0.1,21KXU,,,2022-04-06T21:41:51Z,,,,,NA,
HLS.S30.T21KXU.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KXU_v0.1,21KXU,,,2022-04-07T02:42:59Z,,,,,NA,
HLS.S30.T21KXU.2022006T140049.v2.0,DIST-ALERT_2022006T140049_S30_T21KXU_v0.1,21KXU,,,2022-04-07T09:55:12Z,,,,,NA,
HLS.S30.T21KXU.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KXU_v0.1,21KXU,,,2022-04-07T15:08:40Z,,,,,NA,
HLS.L30.T21KXU.2022007T134029.v2.0,DIST-ALERT_2022007T134029_L30_T21KXU_v0.1,21KXU,,,2022-01-09T08:14:43Z,,,,,NA,
HLS.S30.T21KXV.2022001T140051.v2.0,DIST-ALERT_2022001T140051_S30_T21KXV_v0.1,21KXV,,,2022-01-03T10:08:39Z,,,,,NA,
HLS.S30.T21KXV.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KXV_v0.1,21KXV,,,2022-04-07T02:50:30Z,,,,,NA,
HLS.S30.T21KXV.2022006T140049.v2.0,DIST-ALERT_2022006T140049_S30_T21KXV_v0.1,21KXV,,,2022-04-07T10:00:26Z,,,,,NA,
HLS.S30.T21KXV.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KXV_v0.1,21KXV,,,2022-04-07T15:29:37Z,,,,,NA,
HLS.L30.T21KXV.2022007T134029.v2.0,DIST-ALERT_2022007T134029_L30_T21KXV_v0.1,21KXV,,,2022-01-09T08:13:44Z,,,,,NA,
HLS.S30.T21KYA.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KYA_v0.1,21KYA,,,2022-04-07T02:48:35Z,,,,,NA,
HLS.S30.T21KYA.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KYA_v0.1,21KYA,,,2022-04-07T15:29:26Z,,,,,NA,
HLS.L30.T21KYA.2022007T134005.v2.0,DIST-ALERT_2022007T134005_L30_T21KYA_v0.1,21KYA,,,2022-01-09T08:19:52Z,,,,,NA,
HLS.S30.T21KYB.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KYB_v0.1,21KYB,,,2022-04-07T02:38:49Z,,,,,NA,
HLS.S30.T21KYB.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KYB_v0.1,21KYB,,,2022-04-07T15:27:49Z,,,,,NA,
HLS.L30.T21KYB.2022007T133941.v2.0,DIST-ALERT_2022007T133941_L30_T21KYB_v0.1,21KYB,,,2022-01-09T07:26:40Z,,,,,NA,
HLS.S30.T21KYT.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KYT_v0.1,21KYT,,,2022-04-07T02:41:11Z,,,,,NA,
HLS.S30.T21KYT.2022005T134211.v2.0,DIST-ALERT_2022005T134211_S30_T21KYT_v0.1,21KYT,,,2022-04-07T07:05:56Z,,,,,NA,
HLS.S30.T21KYT.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KYT_v0.1,21KYT,,,2022-04-07T15:30:03Z,,,,,NA,
HLS.S30.T21KYT.2022010T134209.v2.0,DIST-ALERT_2022010T134209_S30_T21KYT_v0.1,21KYT,,,2022-04-07T20:47:23Z,,,,,NA,
HLS.L30.T21KYT.2022007T134053.v2.0,DIST-ALERT_2022007T134053_L30_T21KYT_v0.1,21KYT,,,2022-01-09T07:26:42Z,,,,,NA,
HLS.S30.T21KYU.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KYU_v0.1,21KYU,,,2022-04-07T02:42:43Z,,,,,NA,
HLS.S30.T21KYU.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KYU_v0.1,21KYU,,,2022-04-07T15:17:52Z,,,,,NA,
HLS.L30.T21KYU.2022007T134029.v2.0,DIST-ALERT_2022007T134029_L30_T21KYU_v0.1,21KYU,,,2022-01-09T08:14:48Z,,,,,NA,
HLS.S30.T21KYV.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KYV_v0.1,21KYV,,,2022-04-07T02:42:41Z,,,,,NA,
HLS.S30.T21KYV.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KYV_v0.1,21KYV,,,2022-04-07T15:20:16Z,,,,,NA,
HLS.L30.T21KYV.2022007T134005.v2.0,DIST-ALERT_2022007T134005_L30_T21KYV_v0.1,21KYV,,,2022-01-09T08:17:01Z,,,,,NA,
HLS.S30.T21KZA.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KZA_v0.1,21KZA,,,2022-04-07T02:38:37Z,,,,,NA,
HLS.S30.T21KZA.2022005T134211.v2.0,DIST-ALERT_2022005T134211_S30_T21KZA_v0.1,21KZA,,,2022-04-07T07:18:55Z,,,,,NA,
HLS.S30.T21KZA.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KZA_v0.1,21KZA,,,2022-04-07T15:27:32Z,,,,,NA,
HLS.S30.T21KZA.2022010T134209.v2.0,DIST-ALERT_2022010T134209_S30_T21KZA_v0.1,21KZA,,,2022-04-07T20:38:39Z,,,,,NA,
HLS.L30.T21KZA.2022007T134005.v2.0,DIST-ALERT_2022007T134005_L30_T21KZA_v0.1,21KZA,,,2022-01-09T08:17:46Z,,,,,NA,
HLS.S30.T21KZB.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KZB_v0.1,21KZB,,,2022-04-07T02:48:20Z,,,,,NA,
HLS.S30.T21KZB.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KZB_v0.1,21KZB,,,2022-04-07T15:30:40Z,,,,,NA,
HLS.L30.T21KZB.2022007T133941.v2.0,DIST-ALERT_2022007T133941_L30_T21KZB_v0.1,21KZB,,,2022-01-09T07:24:45Z,,,,,NA,
HLS.S30.T21KZT.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KZT_v0.1,21KZT,,,2022-04-07T02:47:20Z,,,,,NA,
HLS.S30.T21KZT.2022005T134211.v2.0,DIST-ALERT_2022005T134211_S30_T21KZT_v0.1,21KZT,,,2022-04-07T07:11:03Z,,,,,NA,
HLS.S30.T21KZT.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KZT_v0.1,21KZT,,,2022-04-07T15:24:19Z,,,,,NA,
HLS.S30.T21KZT.2022010T134209.v2.0,DIST-ALERT_2022010T134209_S30_T21KZT_v0.1,21KZT,,,2022-04-07T20:28:47Z,,,,,NA,
HLS.S30.T21KZU.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KZU_v0.1,21KZU,,,2022-04-07T02:27:23Z,,,,,NA,
HLS.S30.T21KZU.2022005T134211.v2.0,DIST-ALERT_2022005T134211_S30_T21KZU_v0.1,21KZU,,,2022-04-07T07:10:23Z,,,,,NA,
HLS.S30.T21KZU.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KZU_v0.1,21KZU,,,2022-04-07T15:30:14Z,,,,,NA,
HLS.S30.T21KZU.2022010T134209.v2.0,DIST-ALERT_2022010T134209_S30_T21KZU_v0.1,21KZU,,,2022-01-12T10:44:43Z,,,,,NA,
HLS.L30.T21KZU.2022007T134029.v2.0,DIST-ALERT_2022007T134029_L30_T21KZU_v0.1,21KZU,,,2022-01-09T08:12:48Z,,,,,NA,
HLS.S30.T21KZV.2022003T135109.v2.0,DIST-ALERT_2022003T135109_S30_T21KZV_v0.1,21KZV,,,2022-04-07T02:52:51Z,,,,,NA,
HLS.S30.T21KZV.2022005T134211.v2.0,DIST-ALERT_2022005T134211_S30_T21KZV_v0.1,21KZV,,,2022-04-07T07:09:27Z,,,,,NA,
HLS.S30.T21KZV.2022008T135111.v2.0,DIST-ALERT_2022008T135111_S30_T21KZV_v0.1,21KZV,,,2022-04-07T15:28:12Z,,,,,NA,
HLS.S30.T21KZV.2022010T134209.v2.0,DIST-ALERT_2022010T134209_S30_T21KZV_v0.1,21KZV,,,2022-04-07T20:40:23Z,,,,,NA,
HLS.L30.T21KZV.2022007T134005.v2.0,DIST-ALERT_2022007T134005_L30_T21KZV_v0.1,21KZV,,,2022-01-09T08:09:45Z,,,,,NA,
HLS.S30.T21LTC.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T21LTC_v0.1,21LTC,,,2022-04-07T04:32:51Z,,,,,NA,
HLS.S30.T21LTC.2022009T141039.v2.0,DIST-ALERT_2022009T141039_S30_T21LTC_v0.1,21LTC,,,2022-04-07T17:57:36Z,,,,,NA,
HLS.S30.T21LTD.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T21LTD_v0.1,21LTD,,,2022-04-07T04:43:48Z,,,,,NA,
HLS.S30.T21LTD.2022009T141039.v2.0,DIST-ALERT_2022009T141039_S30_T21LTD_v0.1,21LTD,,,2022-04-07T18:00:28Z,,,,,NA,
HLS.S30.T21LTE.2022002T141729.v2.0,DIST-ALERT_2022002T141729_S30_T21LTE_v0.1,21LTE,,,2022-04-07T00:07:38Z,,,,,NA,
HLS.S30.T21LTE.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T21LTE_v0.1,21LTE,,,2022-04-07T04:46:40Z,,,,,NA,
HLS.S30.T21LTE.2022007T141741.v2.0,DIST-ALERT_2022007T141741_S30_T21LTE_v0.1,21LTE,,,2022-04-07T12:39:06Z,,,,,NA,
HLS.S30.T21LTE.2022009T141039.v2.0,DIST-ALERT_2022009T141039_S30_T21LTE_v0.1,21LTE,,,2022-04-07T17:58:59Z,,,,,NA,
HLS.S30.T21LTF.2022002T141729.v2.0,DIST-ALERT_2022002T141729_S30_T21LTF_v0.1,21LTF,,,2022-01-04T09:52:48Z,,,,,NA,
HLS.S30.T21LTF.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T21LTF_v0.1,21LTF,,,2022-04-07T04:46:57Z,,,,,NA,
HLS.S30.T21LTF.2022007T141741.v2.0,DIST-ALERT_2022007T141741_S30_T21LTF_v0.1,21LTF,,,2022-01-09T07:47:40Z,,,,,NA,
HLS.S30.T21LTF.2022009T141039.v2.0,DIST-ALERT_2022009T141039_S30_T21LTF_v0.1,21LTF,,,2022-04-07T17:59:57Z,,,,,NA,
HLS.S30.T21LTG.2022002T141729.v2.0,DIST-ALERT_2022002T141729_S30_T21LTG_v0.1,21LTG,,,2022-04-07T00:06:15Z,,,,,NA,
HLS.S30.T21LTG.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T21LTG_v0.1,21LTG,,,2022-04-07T04:48:56Z,,,,,NA,
HLS.S30.T21LTG.2022007T141741.v2.0,DIST-ALERT_2022007T141741_S30_T21LTG_v0.1,21LTG,,,2022-04-07T12:47:56Z,,,,,NA,
HLS.S30.T21LTG.2022009T141039.v2.0,DIST-ALERT_2022009T141039_S30_T21LTG_v0.1,21LTG,,,2022-04-07T17:50:20Z,,,,,NA,
HLS.S30.T21LTH.2022002T141729.v2.0,DIST-ALERT_2022002T141729_S30_T21LTH_v0.1,21LTH,,,2022-04-07T00:13:20Z,,,,,NA,
HLS.S30.T21LTH.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T21LTH_v0.1,21LTH,,,2022-04-07T04:43:16Z,,,,,NA,
HLS.S30.T21LTH.2022007T141741.v2.0,DIST-ALERT_2022007T141741_S30_T21LTH_v0.1,21LTH,,,2022-04-07T12:29:38Z,,,,,NA,
HLS.S30.T21LTJ.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T21LTJ_v0.1,21LTJ,,,2022-04-07T04:43:11Z,,,,,NA,
HLS.S30.T21LTJ.2022007T141741.v2.0,DIST-ALERT_2022007T141741_S30_T21LTJ_v0.1,21LTJ,,,2022-04-07T12:43:07Z,,,,,NA,
HLS.S30.T21LTK.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T21LTK_v0.1,21LTK,,,2022-04-07T04:51:09Z,,,,,NA,
HLS.S30.T21LTK.2022007T141741.v2.0,DIST-ALERT_2022007T141741_S30_T21LTK_v0.1,21LTK,,,2022-04-07T12:06:56Z,,,,,NA,
HLS.S30.T21LUC.2022001T140051.v2.0,DIST-ALERT_2022001T140051_S30_T21LUC_v0.1,21LUC,,,2022-04-06T21:42:45Z,,,,,NA,
HLS.S30.T21LUC.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T21LUC_v0.1,21LUC,,,2022-04-07T04:51:01Z,,,,,NA,
HLS.S30.T21LUC.2022006T140049.v2.0,DIST-ALERT_2022006T140049_S30_T21LUC_v0.1,21LUC,,,2022-04-07T09:47:21Z,,,,,NA,
HLS.S30.T21LUC.2022009T141039.v2.0,DIST-ALERT_2022009T141039_S30_T21LUC_v0.1,21LUC,,,2022-04-07T17:57:15Z,,,,,NA,
HLS.L30.T21LUC.2022005T135203.v2.0,DIST-ALERT_2022005T135203_L30_T21LUC_v0.1,21LUC,,,2022-01-07T07:31:38Z,,,,,NA,
HLS.S30.T21LUD.2022001T140051.v2.0,DIST-ALERT_2022001T140051_S30_T21LUD_v0.1,21LUD,,,2022-04-06T21:33:49Z,,,,,NA,
HLS.S30.T21LUD.2022004T141051.v2.0,DIST-ALERT_2022004T141051_S30_T21LUD_v0.1,21LUD,,,2022-04-07T04:46:18Z,,,,,NA,
